id,acct_id,net_amt,amt_txt,status,issued_on
1,1,1425.00,1425.00 USD,paid,2025-04-01
2,1,372.50,372.50 USD,paid,2025-04-15
3,2,241.50,241.50 USD,paid,2025-04-03
4,3,187.50,187.50 USD,open,2025-04-08
5,4,54.00,54.00 USD,paid,2025-04-11
6,5,832.50,832.50 USD,paid,2025-04-14
7,6,277.50,277.50 USD,void,2025-04-18
8,7,1425.00,1200.00 USD,paid,2025-04-21
9,8,704.00,704.00 USD,paid,2025-04-25
10,10,187.50,187.50 USD,open,2025-04-28
11,11,372.50,372.50 USD,paid,2025-05-02
12,12,1702.50,1500.00 USD,paid,2025-05-06
13,13,54.00,54.00 USD,void,2025-05-09
14,15,832.50,832.50 USD,paid,2025-05-13
15,16,277.50,277.50 USD,paid,2025-05-16
16,9,108.00,108.00 USD,paid,2025-05-19
17,14,609.00,600.00 USD,open,2025-05-22
18,5,1425.00,1425.00 USD,paid,2025-05-25
19,3,187.50,187.50 USD,open,2025-05-28
20,4,0.00,0.00 USD,open,2025-05-30
