id,inv_id,sku,qty,unit_amt
1,1,HW-LAP,1,1425.00
2,2,HW-MON,1,372.50
3,3,SW-IDE,1,187.50
4,3,SW-CLD,1,54.00
5,4,SW-IDE,1,187.50
6,5,SW-CLD,1,54.00
7,6,SV-ONB,1,832.50
8,7,SV-SUP,1,277.50
9,8,HW-LAP,1,1425.00
10,9,HW-MON,1,372.50
11,9,SV-SUP,1,277.50
12,9,SW-CLD,1,54.00
13,10,SW-IDE,1,187.50
14,11,HW-MON,1,372.50
15,12,HW-LAP,1,1425.00
16,12,SV-SUP,1,277.50
17,13,SW-CLD,1,54.00
18,14,SV-ONB,1,832.50
19,15,SV-SUP,1,277.50
20,16,SW-CLD,2,54.00
21,17,SV-SUP,2,277.50
22,17,SW-CLD,1,54.00
23,18,HW-LAP,1,1425.00
24,19,SW-IDE,1,187.50
