order_id,customer_id,product_id,quantity,amount,order_date
1001,C01,P01,2,59.98,2024-11-15
1002,C02,P03,1,89.99,2024-11-16
1003,C03,P02,3,44.97,2024-11-17
1004,C01,P05,1,199.99,2024-11-18
1005,C04,P01,1,29.99,2024-11-19
1006,C05,P04,2,139.98,2024-11-20
1007,C02,P02,5,74.95,2024-11-21
1008,C06,P03,1,89.99,2024-11-22
1009,C03,P05,2,399.98,2024-11-23
1010,C07,P01,3,89.97,2024-11-24
1011,C04,P04,1,69.99,2024-11-25
1012,C08,P02,2,29.98,2024-11-26
1013,C05,P05,1,199.99,2024-11-27
1014,C06,P03,2,179.98,2024-11-28
1015,C07,P01,1,29.99,2024-11-29
1016,C01,P04,3,209.97,2024-11-30
1017,C08,P02,1,14.99,2024-12-01
1018,C02,P05,1,199.99,2024-12-02
1019,C03,P01,4,119.96,2024-12-03
1020,C04,P03,2,179.98,2024-12-04
